"46.7123947742151, -23.1406017189188","46.7842599969446, -23.1406017189188","46.7842599969446, -23.0687364961893","46.7123947742151, -23.0687364961893"
"46.7123947742151, -23.2124669416484","46.7842599969446, -23.2124669416484","46.7842599969446, -23.1406017189188","46.7123947742151, -23.1406017189188"
"46.7123947742151, -23.2843321643779","46.7842599969446, -23.2843321643779","46.7842599969446, -23.2124669416484","46.7123947742151, -23.2124669416484"
"46.7123947742151, -23.3561973871075","46.7842599969446, -23.3561973871075","46.7842599969446, -23.2843321643779","46.7123947742151, -23.2843321643779"
"46.7123947742151, -23.4280626098371","46.7842599969446, -23.4280626098371","46.7842599969446, -23.3561973871075","46.7123947742151, -23.3561973871075"
"46.7123947742151, -23.4999278325666","46.7842599969446, -23.4999278325666","46.7842599969446, -23.4280626098371","46.7123947742151, -23.4280626098371"
"46.7123947742151, -23.5717930552962","46.7842599969446, -23.5717930552962","46.7842599969446, -23.4999278325666","46.7123947742151, -23.4999278325666"
"46.7123947742151, -23.6436582780258","46.7842599969446, -23.6436582780258","46.7842599969446, -23.5717930552962","46.7123947742151, -23.5717930552962"
"46.7123947742151, -23.7155235007553","46.7842599969446, -23.7155235007553","46.7842599969446, -23.6436582780258","46.7123947742151, -23.6436582780258"
"46.7123947742151, -23.7873887234849","46.7842599969446, -23.7873887234849","46.7842599969446, -23.7155235007553","46.7123947742151, -23.7155235007553"
"46.7123947742151, -23.8592539462144","46.7842599969446, -23.8592539462144","46.7842599969446, -23.7873887234849","46.7123947742151, -23.7873887234849"
"46.7123947742151, -24.4341757280509","46.7842599969446, -24.4341757280509","46.7842599969446, -24.3623105053214","46.7123947742151, -24.3623105053214"
"46.7123947742151, -24.5060409507805","46.7842599969446, -24.5060409507805","46.7842599969446, -24.4341757280509","46.7123947742151, -24.4341757280509"
"46.7123947742151, -24.5779061735101","46.7842599969446, -24.5779061735101","46.7842599969446, -24.5060409507805","46.7123947742151, -24.5060409507805"
"46.7123947742151, -24.6497713962396","46.7842599969446, -24.6497713962396","46.7842599969446, -24.5779061735101","46.7123947742151, -24.5779061735101"
"46.7123947742151, -24.7216366189692","46.7842599969446, -24.7216366189692","46.7842599969446, -24.6497713962396","46.7123947742151, -24.6497713962396"
"46.7123947742151, -24.7935018416987","46.7842599969446, -24.7935018416987","46.7842599969446, -24.7216366189692","46.7123947742151, -24.7216366189692"
"46.7123947742151, -24.8653670644283","46.7842599969446, -24.8653670644283","46.7842599969446, -24.7935018416987","46.7123947742151, -24.7935018416987"
"46.7123947742151, -24.9372322871579","46.7842599969446, -24.9372322871579","46.7842599969446, -24.8653670644283","46.7123947742151, -24.8653670644283"
"46.7123947742151, -25.0090975098874","46.7842599969446, -25.0090975098874","46.7842599969446, -24.9372322871579","46.7123947742151, -24.9372322871579"
"46.7123947742151, -25.080962732617","46.7842599969446, -25.080962732617","46.7842599969446, -25.0090975098874","46.7123947742151, -25.0090975098874"
"46.7842599969446, -21.4158363734093","46.8561252196742, -21.4158363734093","46.8561252196742, -21.3439711506798","46.7842599969446, -21.3439711506798"
"46.7842599969446, -21.4877015961389","46.8561252196742, -21.4877015961389","46.8561252196742, -21.4158363734093","46.7842599969446, -21.4158363734093"
"46.7842599969446, -23.0687364961893","46.8561252196742, -23.0687364961893","46.8561252196742, -22.9968712734597","46.7842599969446, -22.9968712734597"
"46.7842599969446, -23.1406017189188","46.8561252196742, -23.1406017189188","46.8561252196742, -23.0687364961893","46.7842599969446, -23.0687364961893"
"46.7842599969446, -23.2124669416484","46.8561252196742, -23.2124669416484","46.8561252196742, -23.1406017189188","46.7842599969446, -23.1406017189188"
"46.7842599969446, -23.2843321643779","46.8561252196742, -23.2843321643779","46.8561252196742, -23.2124669416484","46.7842599969446, -23.2124669416484"
"46.7842599969446, -23.3561973871075","46.8561252196742, -23.3561973871075","46.8561252196742, -23.2843321643779","46.7842599969446, -23.2843321643779"
"46.7842599969446, -23.4280626098371","46.8561252196742, -23.4280626098371","46.8561252196742, -23.3561973871075","46.7842599969446, -23.3561973871075"
"46.7842599969446, -23.4999278325666","46.8561252196742, -23.4999278325666","46.8561252196742, -23.4280626098371","46.7842599969446, -23.4280626098371"
"46.7842599969446, -23.5717930552962","46.8561252196742, -23.5717930552962","46.8561252196742, -23.4999278325666","46.7842599969446, -23.4999278325666"
"46.7842599969446, -23.6436582780258","46.8561252196742, -23.6436582780258","46.8561252196742, -23.5717930552962","46.7842599969446, -23.5717930552962"
"46.7842599969446, -23.7155235007553","46.8561252196742, -23.7155235007553","46.8561252196742, -23.6436582780258","46.7842599969446, -23.6436582780258"
"46.7842599969446, -23.7873887234849","46.8561252196742, -23.7873887234849","46.8561252196742, -23.7155235007553","46.7842599969446, -23.7155235007553"
"46.7842599969446, -23.8592539462144","46.8561252196742, -23.8592539462144","46.8561252196742, -23.7873887234849","46.7842599969446, -23.7873887234849"
"46.7842599969446, -23.931119168944","46.8561252196742, -23.931119168944","46.8561252196742, -23.8592539462144","46.7842599969446, -23.8592539462144"
"46.7842599969446, -24.3623105053214","46.8561252196742, -24.3623105053214","46.8561252196742, -24.2904452825918","46.7842599969446, -24.2904452825918"
"46.7842599969446, -24.4341757280509","46.8561252196742, -24.4341757280509","46.8561252196742, -24.3623105053214","46.7842599969446, -24.3623105053214"
"46.7842599969446, -24.5060409507805","46.8561252196742, -24.5060409507805","46.8561252196742, -24.4341757280509","46.7842599969446, -24.4341757280509"
"46.7842599969446, -24.5779061735101","46.8561252196742, -24.5779061735101","46.8561252196742, -24.5060409507805","46.7842599969446, -24.5060409507805"
"46.7842599969446, -24.6497713962396","46.8561252196742, -24.6497713962396","46.8561252196742, -24.5779061735101","46.7842599969446, -24.5779061735101"
"46.7842599969446, -24.7216366189692","46.8561252196742, -24.7216366189692","46.8561252196742, -24.6497713962396","46.7842599969446, -24.6497713962396"
"46.7842599969446, -24.7935018416987","46.8561252196742, -24.7935018416987","46.8561252196742, -24.7216366189692","46.7842599969446, -24.7216366189692"
"46.7842599969446, -24.8653670644283","46.8561252196742, -24.8653670644283","46.8561252196742, -24.7935018416987","46.7842599969446, -24.7935018416987"
"46.7842599969446, -24.9372322871579","46.8561252196742, -24.9372322871579","46.8561252196742, -24.8653670644283","46.7842599969446, -24.8653670644283"
"46.7842599969446, -25.0090975098874","46.8561252196742, -25.0090975098874","46.8561252196742, -24.9372322871579","46.7842599969446, -24.9372322871579"
"46.7842599969446, -25.080962732617","46.8561252196742, -25.080962732617","46.8561252196742, -25.0090975098874","46.7842599969446, -25.0090975098874"
"46.8561252196742, -21.3439711506798","46.9279904424038, -21.3439711506798","46.9279904424038, -21.2721059279502","46.8561252196742, -21.2721059279502"
"46.8561252196742, -21.4158363734093","46.9279904424038, -21.4158363734093","46.9279904424038, -21.3439711506798","46.8561252196742, -21.3439711506798"
"46.8561252196742, -21.4877015961389","46.9279904424038, -21.4877015961389","46.9279904424038, -21.4158363734093","46.8561252196742, -21.4158363734093"
"46.8561252196742, -21.5595668188685","46.9279904424038, -21.5595668188685","46.9279904424038, -21.4877015961389","46.8561252196742, -21.4877015961389"
"46.8561252196742, -21.631432041598","46.9279904424038, -21.631432041598","46.9279904424038, -21.5595668188685","46.8561252196742, -21.5595668188685"
"46.8561252196742, -21.7032972643276","46.9279904424038, -21.7032972643276","46.9279904424038, -21.631432041598","46.8561252196742, -21.631432041598"
"46.8561252196742, -22.2063538234345","46.9279904424038, -22.2063538234345","46.9279904424038, -22.134488600705","46.8561252196742, -22.134488600705"
"46.8561252196742, -22.2782190461641","46.9279904424038, -22.2782190461641","46.9279904424038, -22.2063538234345","46.8561252196742, -22.2063538234345"
"46.8561252196742, -22.3500842688936","46.9279904424038, -22.3500842688936","46.9279904424038, -22.2782190461641","46.8561252196742, -22.2782190461641"
"46.8561252196742, -22.4219494916232","46.9279904424038, -22.4219494916232","46.9279904424038, -22.3500842688936","46.8561252196742, -22.3500842688936"
"46.8561252196742, -22.4938147143528","46.9279904424038, -22.4938147143528","46.9279904424038, -22.4219494916232","46.8561252196742, -22.4219494916232"
"46.8561252196742, -22.5656799370823","46.9279904424038, -22.5656799370823","46.9279904424038, -22.4938147143528","46.8561252196742, -22.4938147143528"
"46.8561252196742, -23.0687364961893","46.9279904424038, -23.0687364961893","46.9279904424038, -22.9968712734597","46.8561252196742, -22.9968712734597"
"46.8561252196742, -23.1406017189188","46.9279904424038, -23.1406017189188","46.9279904424038, -23.0687364961893","46.8561252196742, -23.0687364961893"
"46.8561252196742, -23.2124669416484","46.9279904424038, -23.2124669416484","46.9279904424038, -23.1406017189188","46.8561252196742, -23.1406017189188"
"46.8561252196742, -23.2843321643779","46.9279904424038, -23.2843321643779","46.9279904424038, -23.2124669416484","46.8561252196742, -23.2124669416484"
